sex,outcome,country,calendar.year.admit,calendar.month.admit,agegp10,lower.age.bound,upper.age.bound,icu_ever,count
NA,NA,NA,NA,NA,80-89,80,89,TRUE,1
NA,NA,Belgium,NA,NA,0-9,0,9,FALSE,1
NA,NA,Belgium,NA,NA,30-39,30,39,FALSE,1
NA,NA,Belgium,NA,NA,60-69,60,69,FALSE,1
NA,NA,Belgium,NA,NA,70-79,70,79,FALSE,1
NA,NA,Belgium,2020,4,30-39,30,39,TRUE,1
NA,NA,Belgium,2020,7,20-29,20,29,TRUE,2
NA,NA,France,NA,NA,10-19,10,19,FALSE,1
NA,NA,France,NA,NA,10-19,10,19,TRUE,1
NA,NA,France,NA,NA,70-79,70,79,TRUE,1
NA,NA,France,2020,5,30-39,30,39,FALSE,1
NA,NA,France,2020,5,40-49,40,49,TRUE,1
NA,NA,France,2020,6,60-69,60,69,FALSE,1
NA,NA,Ireland,NA,NA,60-69,60,69,TRUE,1
NA,NA,Ireland,2020,2,30-39,30,39,FALSE,1
NA,NA,Ireland,2020,4,50-59,50,59,TRUE,1
NA,NA,Ireland,2020,7,30-39,30,39,FALSE,1
NA,NA,Ireland,2020,10,10-19,10,19,FALSE,1
NA,NA,Italy,NA,NA,10-19,10,19,FALSE,1
NA,NA,Italy,NA,NA,30-39,30,39,TRUE,1
NA,NA,Italy,NA,NA,70-79,70,79,TRUE,1
NA,NA,Italy,NA,NA,80-89,80,89,TRUE,1
NA,NA,Italy,NA,NA,90+,90,119,FALSE,1
NA,NA,Italy,NA,NA,90+,90,119,TRUE,1
NA,NA,Italy,2020,2,10-19,10,19,FALSE,1
NA,NA,Netherlands,NA,NA,20-29,20,29,FALSE,1
NA,NA,Netherlands,NA,NA,30-39,30,39,FALSE,1
NA,NA,Netherlands,NA,NA,60-69,60,69,TRUE,1
NA,NA,Netherlands,NA,NA,90+,90,119,TRUE,1
NA,NA,Netherlands,2020,4,30-39,30,39,FALSE,1
NA,NA,Netherlands,2020,6,60-69,60,69,TRUE,1
NA,NA,Norway,NA,NA,30-39,30,39,TRUE,1
NA,NA,Norway,NA,NA,50-59,50,59,FALSE,1
NA,NA,Norway,NA,NA,70-79,70,79,FALSE,1
NA,NA,Norway,2020,2,50-59,50,59,TRUE,1
NA,NA,Norway,2020,6,60-69,60,69,FALSE,1
NA,NA,Poland,NA,NA,10-19,10,19,FALSE,1
NA,NA,Poland,NA,NA,70-79,70,79,TRUE,1
NA,NA,Poland,NA,NA,90+,90,119,FALSE,1
NA,NA,Poland,NA,NA,90+,90,119,TRUE,1
NA,NA,Poland,2020,5,60-69,60,69,TRUE,1
NA,NA,Poland,2020,7,60-69,60,69,TRUE,1
NA,NA,Poland,2020,8,20-29,20,29,TRUE,1
NA,NA,Portugal,NA,NA,90+,90,119,TRUE,1
NA,NA,Portugal,2020,4,10-19,10,19,FALSE,1
NA,NA,Portugal,2020,4,90+,90,119,TRUE,1
NA,NA,Romania,NA,NA,40-49,40,49,TRUE,1
NA,NA,United States,NA,NA,0-9,0,9,FALSE,2
NA,NA,United States,NA,NA,60-69,60,69,TRUE,1
NA,NA,United States,NA,NA,80-89,80,89,FALSE,1
NA,NA,United States,NA,NA,90+,90,119,FALSE,2
NA,NA,United States,NA,NA,90+,90,119,TRUE,1
NA,NA,United States,2020,7,50-59,50,59,FALSE,1
NA,censored,NA,NA,NA,0-9,0,9,FALSE,15
NA,censored,NA,NA,NA,0-9,0,9,TRUE,17
NA,censored,NA,NA,NA,10-19,10,19,FALSE,19
NA,censored,NA,NA,NA,10-19,10,19,TRUE,13
NA,censored,NA,NA,NA,20-29,20,29,FALSE,25
NA,censored,NA,NA,NA,20-29,20,29,TRUE,18
NA,censored,NA,NA,NA,30-39,30,39,FALSE,20
NA,censored,NA,NA,NA,30-39,30,39,TRUE,14
NA,censored,NA,NA,NA,40-49,40,49,FALSE,19
NA,censored,NA,NA,NA,40-49,40,49,TRUE,16
NA,censored,NA,NA,NA,50-59,50,59,FALSE,18
NA,censored,NA,NA,NA,50-59,50,59,TRUE,19
NA,censored,NA,NA,NA,60-69,60,69,FALSE,16
NA,censored,NA,NA,NA,60-69,60,69,TRUE,24
NA,censored,NA,NA,NA,70-79,70,79,FALSE,23
NA,censored,NA,NA,NA,70-79,70,79,TRUE,20
NA,censored,NA,NA,NA,80-89,80,89,FALSE,13
NA,censored,NA,NA,NA,80-89,80,89,TRUE,17
NA,censored,NA,NA,NA,90+,90,119,FALSE,28
NA,censored,NA,NA,NA,90+,90,119,TRUE,26
NA,censored,Belgium,2020,2,0-9,0,9,FALSE,1
NA,censored,France,2020,4,0-9,0,9,TRUE,1
NA,censored,Ireland,2020,4,20-29,20,29,FALSE,1
NA,censored,Italy,2020,3,60-69,60,69,TRUE,1
NA,censored,Italy,2020,5,90+,90,119,FALSE,1
NA,censored,Norway,2020,3,10-19,10,19,TRUE,1
NA,censored,Norway,2020,5,90+,90,119,TRUE,1
NA,censored,Norway,2020,6,20-29,20,29,FALSE,1
NA,censored,Norway,2020,6,70-79,70,79,FALSE,1
NA,censored,Poland,2020,5,20-29,20,29,TRUE,1
NA,censored,Portugal,2020,6,90+,90,119,FALSE,1
NA,censored,Portugal,2020,7,60-69,60,69,TRUE,1
NA,censored,Romania,NA,NA,90+,90,119,FALSE,1
NA,censored,Romania,2020,3,40-49,40,49,FALSE,1
NA,censored,United States,NA,NA,60-69,60,69,FALSE,1
NA,censored,United States,2020,7,40-49,40,49,TRUE,1
NA,death,Belgium,NA,NA,50-59,50,59,FALSE,1
NA,death,Belgium,2020,3,70-79,70,79,TRUE,1
NA,death,Belgium,2020,4,20-29,20,29,FALSE,1
NA,death,France,2020,6,60-69,60,69,FALSE,1
NA,death,Ireland,2020,2,90+,90,119,TRUE,1
NA,death,Italy,NA,NA,0-9,0,9,FALSE,1
NA,death,Italy,NA,NA,0-9,0,9,TRUE,1
NA,death,Italy,NA,NA,60-69,60,69,TRUE,1
NA,death,Italy,2020,4,20-29,20,29,FALSE,1
NA,death,Italy,2020,7,40-49,40,49,FALSE,1
NA,death,Poland,NA,NA,20-29,20,29,TRUE,1
NA,death,Poland,NA,NA,60-69,60,69,TRUE,1
NA,death,Portugal,NA,NA,60-69,60,69,FALSE,1
NA,death,Portugal,NA,NA,90+,90,119,TRUE,1
NA,death,Portugal,2020,2,30-39,30,39,FALSE,1
NA,death,Portugal,2020,6,70-79,70,79,TRUE,1
NA,death,Romania,NA,NA,90+,90,119,TRUE,1
NA,death,Romania,2020,6,20-29,20,29,TRUE,1
NA,death,United States,NA,NA,0-9,0,9,TRUE,1
NA,discharge,Belgium,NA,NA,40-49,40,49,TRUE,1
NA,discharge,Belgium,NA,NA,50-59,50,59,TRUE,1
NA,discharge,Belgium,2020,3,50-59,50,59,TRUE,1
NA,discharge,Belgium,2020,6,70-79,70,79,TRUE,1
NA,discharge,France,2020,2,0-9,0,9,TRUE,1
NA,discharge,France,2020,3,20-29,20,29,FALSE,1
NA,discharge,Ireland,NA,NA,10-19,10,19,FALSE,1
