sex,outcome,country,calendar.year.admit,calendar.month.admit,year.epiweek.admit,agegp10,lower.age.bound,upper.age.bound,icu_ever,count
NA,censored,Belgium,2020,2,2020-7,50-59,50,59,FALSE,1
NA,censored,Belgium,2020,3,2020-12,40-49,40,49,TRUE,1
NA,censored,Belgium,2020,3,2020-13,40-49,40,49,FALSE,1
NA,censored,Belgium,2020,4,2020-14,80-89,80,89,FALSE,1
NA,censored,Belgium,2020,4,2020-17,30-39,30,39,FALSE,1
NA,censored,Belgium,2020,4,2020-18,0-9,0,9,TRUE,1
NA,censored,Belgium,2020,5,2020-20,60-69,60,69,FALSE,1
NA,censored,Belgium,2020,5,2020-21,20-29,20,29,TRUE,1
NA,censored,Belgium,2020,6,2020-25,40-49,40,49,TRUE,1
NA,censored,Belgium,2020,6,2020-25,50-59,50,59,TRUE,1
NA,censored,Belgium,2020,7,2020-29,80-89,80,89,TRUE,1
NA,censored,Belgium,2020,10,2020-42,20-29,20,29,FALSE,1
NA,censored,France,2020,2,2020-6,80-89,80,89,TRUE,1
NA,censored,France,2020,2,2020-8,40-49,40,49,FALSE,1
NA,censored,France,2020,3,2020-10,40-49,40,49,FALSE,1
NA,censored,France,2020,4,2020-15,20-29,20,29,TRUE,1
NA,censored,France,2020,4,2020-16,20-29,20,29,TRUE,1
NA,censored,France,2020,4,2020-18,90+,90,119,TRUE,1
NA,censored,France,2020,5,2020-19,60-69,60,69,TRUE,1
NA,censored,France,2020,5,2020-21,10-19,10,19,TRUE,1
NA,censored,France,2020,5,2020-22,50-59,50,59,TRUE,1
NA,censored,France,2020,5,2020-22,90+,90,119,TRUE,1
NA,censored,France,2020,6,2020-23,20-29,20,29,TRUE,1
NA,censored,France,2020,6,2020-23,70-79,70,79,FALSE,1
NA,censored,France,2020,6,2020-25,30-39,30,39,FALSE,1
NA,censored,France,2020,6,2020-25,70-79,70,79,TRUE,1
NA,censored,France,2020,6,2020-26,80-89,80,89,TRUE,1
NA,censored,France,2020,9,2020-37,20-29,20,29,FALSE,1
NA,censored,France,2020,9,2020-39,0-9,0,9,TRUE,1
NA,censored,Ireland,2020,2,2020-6,30-39,30,39,FALSE,1
NA,censored,Ireland,2020,2,2020-6,50-59,50,59,FALSE,2
NA,censored,Ireland,2020,2,2020-6,50-59,50,59,TRUE,1
NA,censored,Ireland,2020,4,2020-15,80-89,80,89,TRUE,1
NA,censored,Ireland,2020,5,2020-18,80-89,80,89,FALSE,1
NA,censored,Ireland,2020,7,2020-27,50-59,50,59,FALSE,1
